,ptitle,entities
0,apple  lightning to usb 2m charge   sync cable,"('apple', 'ORG')"
1,buy u28p2u online   megabuy computer parts australia,Others
2,apple imac 21 5 desktop computer   intel dual core i5 2 3ghz,"('apple imac', 'ORG')"
3,hp 119a  w2090a  laser black toner   mediaform au,"('w2090a', 'ORG')"
4,hp 1un11aa   hp engage one basic i o connectivity base,Others
5,zebra tc26ak 11a222 na   barcodes  inc,Others
6,zebra at17010 1   barcodes  inc,Others
7,zebra 34901 031m   barcodes  inc,Others
8,zebra zd42042 d01000ez   barcodes  inc,Others
9,neff u1ace2hw0b built in double oven  white    hbh woolacotts   cornwall and devon s premier independent electrical retailer,"('neff u1ace2hw0b', 'ORG')"
10,msi 306 7zw1c31 813 xgx cool cpu mag coreliquid 360r 306 7zw1c31 813,Others
11,miele esw7020 29cm handleless gourmet warming drawer   miele,Others
12,hoover 9kg vented tumble dryer   white   c energy rated   aclands radio   tv ltd,Others
13,westinghouse 654k amazon fire   wa65ufa1001   next level,"('westinghouse', 'ORG')"
14,dji mini 2 fly more combo  tekzone,"('dji mini 2', 'ORG')"
15,dell p2721q 27 4k ips 5ms usb type c hdmi display p2721q    online,"('dell p2721q', 'ORG')"
16,canon 1367c008aa   canon pixma ts5050 inkjet a4 4800 x 1200 dpi wi fi,"('canon pixma', 'PRODUCT')"
17,zanussi built in electric double oven   stainless steel   a energy rated   david wood domestic appliances,Others
18,fujifilm xf 80mm f2 8 r lm ois wr macro  london camera exchange,"('london camera exchange', 'ORG')"
19,weber q3200 black   stand   official weber world store uk   wow bbq,Others
20,tl sg3428x   tp link jetstream 24pt gb l2  man swt,Others
21,wd 3tb my passport ultra 2 5 usb 3 0 external portable hard drive   berry,Others
22,tp link tl sg108 m2   tp link 8 port 2 5g desktop switch,"('m2', 'PRODUCT')"
23,tl wpa7517 kit   tp link gigabit powerline ac wi fi kit,Others
24,smeg cvi318xs integrated wine cooler   stainless steel,Others
25,apollo apollo3eechseestnblk 3 seater electric leather recliner with chaise   black e station,"('apollo apollo3eechseestnblk 3 seater electric', 'ORG')"
26,panasonic lumix fz330   london camera exchange,"('panasonic lumix', 'ORG')"
27,fry s electronics,"('fry s', 'PRODUCT')"
28,ultimate ears 4519432 wonderboom 2 crushed ice 984 001548 grey,Others
